daily_closing_price,time
0.438486,2022-03-04 00:00:00.000 UTC
0.449687,2022-03-05 00:00:00.000 UTC
0.423619,2022-03-06 00:00:00.000 UTC
0.422196,2022-03-07 00:00:00.000 UTC
0.438635,2022-03-08 00:00:00.000 UTC
0.463305,2022-03-09 00:00:00.000 UTC
0.449332,2022-03-10 00:00:00.000 UTC
0.443393,2022-03-11 00:00:00.000 UTC
0.452272,2022-03-12 00:00:00.000 UTC
0.436473,2022-03-13 00:00:00.000 UTC
0.441779,2022-03-14 00:00:00.000 UTC
0.444993,2022-03-15 00:00:00.000 UTC
0.471583,2022-03-16 00:00:00.000 UTC
0.464118,2022-03-17 00:00:00.000 UTC
0.481106,2022-03-18 00:00:00.000 UTC
0.518156,2022-03-19 00:00:00.000 UTC
0.498032,2022-03-20 00:00:00.000 UTC
0.610113,2022-03-21 00:00:00.000 UTC
0.598127,2022-03-22 00:00:00.000 UTC
0.598508,2022-03-23 00:00:00.000 UTC
0.582868,2022-03-24 00:00:00.000 UTC
0.571783,2022-03-25 00:00:00.000 UTC
0.602398,2022-03-26 00:00:00.000 UTC
0.621531,2022-03-27 00:00:00.000 UTC
0.589209,2022-03-28 00:00:00.000 UTC
0.618708,2022-03-29 00:00:00.000 UTC
0.670708,2022-03-30 00:00:00.000 UTC
0.638422,2022-03-31 00:00:00.000 UTC
0.6335,2022-04-01 00:00:00.000 UTC
0.623529,2022-04-02 00:00:00.000 UTC
0.646909,2022-04-03 00:00:00.000 UTC
0.618221,2022-04-04 00:00:00.000 UTC
0.598352,2022-04-05 00:00:00.000 UTC
0.526083,2022-04-06 00:00:00.000 UTC
0.560453,2022-04-07 00:00:00.000 UTC
0.52712,2022-04-08 00:00:00.000 UTC
0.552253,2022-04-09 00:00:00.000 UTC
0.534948,2022-04-10 00:00:00.000 UTC
0.476699,2022-04-11 00:00:00.000 UTC
0.500142,2022-04-12 00:00:00.000 UTC
0.507097,2022-04-13 00:00:00.000 UTC
0.487576,2022-04-14 00:00:00.000 UTC
0.495213,2022-04-15 00:00:00.000 UTC
0.501628,2022-04-16 00:00:00.000 UTC
0.474391,2022-04-17 00:00:00.000 UTC
0.510949,2022-04-18 00:00:00.000 UTC
0.554006,2022-04-19 00:00:00.000 UTC
0.537846,2022-04-20 00:00:00.000 UTC
0.518464,2022-04-21 00:00:00.000 UTC
0.539391,2022-04-22 00:00:00.000 UTC
0.520598,2022-04-23 00:00:00.000 UTC
0.501495,2022-04-24 00:00:00.000 UTC
0.508042,2022-04-25 00:00:00.000 UTC
0.468233,2022-04-26 00:00:00.000 UTC
0.480214,2022-04-27 00:00:00.000 UTC
0.479949,2022-04-28 00:00:00.000 UTC
0.44124,2022-04-29 00:00:00.000 UTC
0.395146,2022-04-30 00:00:00.000 UTC
0.423512,2022-05-01 00:00:00.000 UTC
0.411485,2022-05-02 00:00:00.000 UTC
0.405481,2022-05-03 00:00:00.000 UTC
0.444443,2022-05-04 00:00:00.000 UTC
0.395664,2022-05-05 00:00:00.000 UTC
0.398414,2022-05-06 00:00:00.000 UTC
0.373764,2022-05-07 00:00:00.000 UTC
0.359903,2022-05-08 00:00:00.000 UTC
0.28978,2022-05-09 00:00:00.000 UTC
0.303252,2022-05-10 00:00:00.000 UTC
0.217289,2022-05-11 00:00:00.000 UTC
0.200838,2022-05-12 00:00:00.000 UTC
0.218015,2022-05-13 00:00:00.000 UTC
0.225946,2022-05-14 00:00:00.000 UTC
0.238143,2022-05-15 00:00:00.000 UTC
0.215318,2022-05-16 00:00:00.000 UTC
0.240853,2022-05-17 00:00:00.000 UTC
0.210355,2022-05-18 00:00:00.000 UTC
0.227498,2022-05-19 00:00:00.000 UTC
0.211415,2022-05-20 00:00:00.000 UTC
0.225345,2022-05-21 00:00:00.000 UTC
0.236574,2022-05-22 00:00:00.000 UTC
0.224005,2022-05-23 00:00:00.000 UTC
0.23159,2022-05-24 00:00:00.000 UTC
0.224791,2022-05-25 00:00:00.000 UTC
0.206765,2022-05-26 00:00:00.000 UTC
0.194771,2022-05-27 00:00:00.000 UTC
0.206093,2022-05-28 00:00:00.000 UTC
0.218691,2022-05-29 00:00:00.000 UTC
0.23771,2022-05-30 00:00:00.000 UTC
0.233815,2022-05-31 00:00:00.000 UTC
0.211855,2022-06-01 00:00:00.000 UTC
0.215156,2022-06-02 00:00:00.000 UTC
0.238113,2022-06-03 00:00:00.000 UTC
0.23676,2022-06-04 00:00:00.000 UTC
0.241593,2022-06-05 00:00:00.000 UTC
0.241663,2022-06-06 00:00:00.000 UTC
0.281758,2022-06-07 00:00:00.000 UTC
0.273293,2022-06-08 00:00:00.000 UTC
0.2992,2022-06-09 00:00:00.000 UTC
0.27261,2022-06-10 00:00:00.000 UTC
0.241777,2022-06-11 00:00:00.000 UTC
0.218543,2022-06-12 00:00:00.000 UTC
0.190524,2022-06-13 00:00:00.000 UTC
0.197939,2022-06-14 00:00:00.000 UTC
0.202941,2022-06-15 00:00:00.000 UTC
0.175857,2022-06-16 00:00:00.000 UTC
0.178638,2022-06-17 00:00:00.000 UTC
0.166309,2022-06-18 00:00:00.000 UTC
0.179272,2022-06-19 00:00:00.000 UTC
0.190687,2022-06-20 00:00:00.000 UTC
0.191952,2022-06-21 00:00:00.000 UTC
0.18018,2022-06-22 00:00:00.000 UTC
0.195342,2022-06-23 00:00:00.000 UTC
0.202815,2022-06-24 00:00:00.000 UTC
0.201708,2022-06-25 00:00:00.000 UTC
0.192911,2022-06-26 00:00:00.000 UTC
0.189826,2022-06-27 00:00:00.000 UTC
0.196029,2022-06-28 00:00:00.000 UTC
0.198714,2022-06-29 00:00:00.000 UTC
0.177868,2022-06-30 00:00:00.000 UTC
0.172457,2022-07-01 00:00:00.000 UTC
0.168078,2022-07-02 00:00:00.000 UTC
0.168658,2022-07-03 00:00:00.000 UTC
0.173989,2022-07-04 00:00:00.000 UTC
0.168029,2022-07-05 00:00:00.000 UTC
0.170783,2022-07-06 00:00:00.000 UTC
0.175937,2022-07-07 00:00:00.000 UTC
0.175276,2022-07-08 00:00:00.000 UTC
0.177292,2022-07-09 00:00:00.000 UTC
0.168819,2022-07-10 00:00:00.000 UTC
0.155734,2022-07-11 00:00:00.000 UTC
0.155105,2022-07-12 00:00:00.000 UTC
0.161925,2022-07-13 00:00:00.000 UTC
0.169466,2022-07-14 00:00:00.000 UTC
0.167917,2022-07-15 00:00:00.000 UTC
0.172006,2022-07-16 00:00:00.000 UTC
0.179735,2022-07-17 00:00:00.000 UTC
0.185647,2022-07-18 00:00:00.000 UTC
0.190344,2022-07-19 00:00:00.000 UTC
0.180981,2022-07-20 00:00:00.000 UTC
